"","income","scenario_adopt","scenario_sharing","strategy_short","total_energy_annual_demand_kwh","total_demand_carbon_tonnes","total_nitrogen_oxide_tonnes","total_sulpher_dioxide_tonnes","total_pm10_tonnes"
"173","HIC","high","SRN","4G (F)",6781928857.92,295527.567422072,109.241221024839,8854.39672691163,3611.61942737763
"174","HIC","high","SRN","4G (W)",8324724640.32,362906.356035439,134.194494331188,10877.5506337137,4438.86372503856
"175","HIC","high","SRN","5G (F)",8244057654.72,373555.783567628,141.652123791856,11582.8459564097,5051.99139779399
"176","HIC","high","SRN","5G (W)",9757806678.72,441987.910327774,167.542252161599,13687.0903786451,5930.50266302256
"177","HIC","low","Baseline","4G (F)",6667823831.04,286354.184090209,104.196610112537,8475.60221012102,3544.83372387669
"178","HIC","low","Baseline","4G (W)",7376559690.24,316805.569488586,114.522908183471,9318.05790596762,3903.59143993407
"179","HIC","low","Baseline","5G (F)",6994974931.2,316336.281880607,119.853189351719,9805.16391339461,4290.8363514212
"180","HIC","low","Baseline","5G (W)",7121240870.4,321455.550363187,121.814768029206,9964.75773399476,4357.66920112441
"181","HIC","low","Passive","4G (F)",6667823831.04,286354.184090209,104.196610112537,8475.60221012102,3544.83372387669
"182","HIC","low","Passive","4G (W)",7376559690.24,316805.569488586,114.522908183471,9318.05790596762,3903.59143993407
"183","HIC","low","Passive","5G (F)",6994974931.2,316336.281880607,119.853189351719,9805.16391339461,4290.8363514212
"184","HIC","low","Passive","5G (W)",7121240870.4,321455.550363187,121.814768029206,9964.75773399476,4357.66920112441
"185","HIC","low","Active","4G (F)",3929163586.56,168765.76455104,60.62773275729,4917.57720803874,2012.27770269276
"186","HIC","low","Active","4G (W)",4737355580.16,202443.870819606,72.4672801766556,5879.9313765279,2411.29424210599
"187","HIC","low","Active","5G (F)",5927807623.68,268329.342933518,101.961623257684,8317.29913485575,3566.46656796526
"188","HIC","low","Active","5G (W)",7096329953.28,320692.993730648,121.563959418595,9913.8256428217,4242.67098187243
"189","HIC","low","SRN","4G (F)",4600619058.24,196459.470544919,71.4146693227504,5792.58338571079,2371.24400499393
"190","HIC","low","SRN","4G (W)",5498078955.84,233696.351334126,84.7865748323329,6879.59572936444,2822.66197706098
"191","HIC","low","SRN","5G (F)",6984871427.52,315946.246472933,119.701902547076,9792.88940728276,4285.81063207258
"192","HIC","low","SRN","5G (W)",8120920086.72,366738.388825852,138.916711468964,11359.1377946635,4953.37904503725
